0,窗户,0
1,明亮,1,0
2,方正,1,0
3,透彻,1,0
4,清晰,1,0
5,远方,1,0
6,理想,1,0
7,黑暗,1,0
8,温暖,1,0
9,台灯,0,1
10,眼睛,0,1
11,星空,0,1
12,聚光灯,0,1
13,天空,0,1
14,白墙,0,1
15,蜡烛,0,1
16,太阳,0,1
17,井底,0,7
18,山洞,0,7
19,盲人,0,7
20,监狱,0,7
21,原始森林,0,7
22,夜空,0,7
23,楼道,0,7
24,蝙蝠侠,0,7
